City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
60,pevek,RU,2021-11-29 21:59:01,69.7008,170.3133,-0.22,97,100,2.19,overcast clouds,0.0,0
61,diamantino,BR,2021-11-29 22:00:02,-14.4086,-56.4461,77.54,87,90,4.03,heavy intensity rain,0.0,0
62,gizo,SB,2021-11-29 22:00:02,-8.103,156.8419,83.88,74,98,9.73,overcast clouds,0.0,0
63,pemangkat,ID,2021-11-29 22:00:03,1.1667,108.9667,76.44,85,98,5.1,overcast clouds,0.0,0
64,isla mujeres,MX,2021-11-29 22:00:04,21.2311,-86.731,80.65,76,99,7.47,overcast clouds,0.0,0
65,general roca,AR,2021-11-29 22:00:07,-39.0333,-67.5833,84.42,12,73,2.75,broken clouds,0.0,0
66,hobart,AU,2021-11-29 21:56:36,-42.8794,147.3294,62.26,71,20,1.99,few clouds,0.0,0
67,kavieng,PG,2021-11-29 22:00:08,-2.5744,150.7967,83.73,75,100,17.85,light rain,0.0,0
68,chabahar,IR,2021-11-29 22:00:09,25.2919,60.643,73.45,70,0,6.49,clear sky,0.0,0
69,saint george,US,2021-11-29 22:00:09,37.1041,-113.5841,77.47,21,0,4.0,clear sky,0.0,0
70,keti bandar,PK,2021-11-29 22:00:10,24.1447,67.4497,74.34,40,9,9.6,clear sky,0.0,0
71,yuzawa,JP,2021-11-29 22:00:11,39.1667,140.5,39.02,83,96,4.25,overcast clouds,0.0,0
72,punta arenas,CL,2021-11-29 21:59:33,-53.15,-70.9167,51.91,46,40,27.63,scattered clouds,0.0,0
73,rancho palos verdes,US,2021-11-29 22:00:13,33.7445,-118.387,88.66,69,0,3.0,clear sky,0.0,0
74,saint-pierre,RE,2021-11-29 21:57:43,-21.3393,55.4781,76.64,81,40,5.75,scattered clouds,0.0,0
75,san pedro,PH,2021-11-29 22:00:14,14.35,121.0167,78.35,89,99,3.69,overcast clouds,0.0,0
76,nikolskoye,RU,2021-11-29 22:00:15,59.7035,30.7861,24.4,95,100,10.96,light snow,0.0,0
77,guamal,CO,2021-11-29 22:00:15,9.1433,-74.2238,80.33,88,91,3.58,overcast clouds,0.0,0
78,umm kaddadah,SD,2021-11-29 22:00:16,13.6017,26.6876,77.77,37,26,12.19,scattered clouds,0.0,0
