City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,port blair,IN,79.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
554,pacific grove,US,79.43,clear sky,36.6177,-121.9166,Lovers Point Inn
555,sagua la grande,CU,76.19,few clouds,22.8067,-80.0756,Hotel Telégrafo
556,richards bay,ZA,69.55,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
557,monte alto,BR,77.83,light rain,-21.2611,-48.4964,Optimum Hotéis
560,inhambane,MZ,72.79,clear sky,-23.865,35.3833,Oceano
561,areia branca,BR,80.96,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
565,muisne,EC,76.08,overcast clouds,0.6,-80.0333,Quinta Samay
566,benguela,AO,77.7,light rain,-12.5763,13.4055,Hotel Praia Morena
573,makakilo city,US,79.12,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
576,seddon,AU,78.62,clear sky,-37.8068,144.8916,Footscray Motor Inn
580,jacareacanga,BR,81.81,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
581,buluang,PH,75.33,overcast clouds,13.3068,123.3425,Enon Beach Resort
583,malampaka,TZ,72.0,overcast clouds,-3.1333,33.5333,Ashura's Guest House
584,jibuti,DJ,72.18,few clouds,11.5,42.5,Orchid Main Camp Goubet
586,andros town,BS,73.36,broken clouds,24.7,-77.7667,Hanks place
588,mlonggo,ID,76.89,moderate rain,-6.5333,110.7,Asia Metal Art
589,alirajpur,IN,65.16,overcast clouds,22.3031,74.3546,Shree Yatindrasuri Indra Bhavan
591,wanning,CN,66.72,clear sky,18.8003,110.3967,Paradise Hotel
592,madingou,CG,73.29,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
594,garowe,SO,70.72,scattered clouds,8.4054,48.4845,Curubo Hotel
597,sechura,PE,75.2,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
599,dondo,MZ,66.58,clear sky,-19.6094,34.7431,Arco Iris
600,delta del tigre,UY,66.61,mist,-34.7633,-56.3853,FINCA SUAREZ
602,pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
603,hervey bay,AU,79.02,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
606,bodinayakkanur,IN,71.65,moderate rain,10.0167,77.35,M.V. Lodge
609,auki,SB,83.53,overcast clouds,-8.7676,160.7034,Auki Motel
611,namibe,AO,73.29,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
617,yilan,TW,72.82,scattered clouds,24.757,121.753,Dar Chen Hotel
619,kudahuvadhoo,MV,81.93,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
620,sao felix do xingu,BR,75.88,moderate rain,-6.6447,-51.995,Rio Xingu Camping
621,sao gotardo,BR,70.92,overcast clouds,-19.3111,-46.0489,HOTEL BOMTEMPO
622,sarangani,PH,81.68,overcast clouds,5.4033,125.4636,Ballistic Islet
624,amahai,ID,79.43,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
626,mamallapuram,IN,81.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
628,kedougou,SN,81.21,broken clouds,12.5579,-12.1743,Relais de Kédougou
632,marawi,PH,65.64,broken clouds,7.9986,124.2928,Derogongan Residence
635,itigi,TZ,67.68,overcast clouds,-5.7,34.4833,Hostel San Sebastiano
640,magdalena,PH,78.42,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
642,coihueco,CL,77.74,few clouds,-36.6167,-71.8333,Frutillares Coihueco
643,manzanillo,CU,77.36,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
644,huarmey,PE,69.58,scattered clouds,-10.0681,-78.1522,Hotel Miramar
647,hadejia,NG,75.09,clear sky,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
649,trinidad,BO,73.38,heavy intensity rain,-14.8333,-64.9,Hotel Piesta
651,yeppoon,AU,76.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
655,sao jose da coroa grande,BR,79.77,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
658,dhidhdhoo,MV,79.11,heavy intensity rain,6.8833,73.1,Dhidhoo beach
661,santa cruz,BO,69.01,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
667,olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
670,ambilobe,MG,74.35,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
671,ayorou,NE,80.13,overcast clouds,14.7308,0.9174,Hotel Amenokal
672,labuan,MY,73.56,light rain,5.2767,115.2417,Tiara Labuan Hotel
675,bellavista,PE,83.48,overcast clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
